epsilon,sample_index,cluster_id,final_bits,stable,residual_norm,max_real_eig,x_initial,y_initial,x_final,y_final
0.0,29,0,010,1,2.3075552e-16,-1.1298438,-1.5404437 -0.73604608 -1.7290644,1.1606135 -1.4337888 0.11186011,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,30,4,000,1,2.3075552e-16,-1.1298438,-1.2895516 -1.4120204 -1.3366221,1.1308619 -0.016589623 -0.47729851,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,31,2,101,1,2.3075552e-16,-1.1298438,1.9968393 0.18389958 -0.7866755,-0.3880449 0.58760063 -1.1392603,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,32,7,111,1,1.93574e-16,-1.1298438,1.0328848 1.5350704 -0.099475421,-0.18808589 -1.0706557 -0.23177322,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,33,7,111,1,1.93574e-16,-1.1298438,1.0576468 -0.34406683 0.47972387,-1.3686616 -0.84082388 -0.88851386,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,34,5,100,1,2.3075552e-16,-1.1298438,1.924694 -1.8218005 -1.138726,-1.4058023 0.41860576 0.45951127,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,35,2,101,1,1.93574e-16,-1.1298438,-0.61791399 -1.8545819 -0.25995822,-0.9860141 -0.21982729 -0.38156924,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,36,6,011,1,2.3075552e-16,-1.1298438,-1.1156547 1.3665638 0.7704602,-0.088064421 -0.30094406 -1.1728803,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,37,4,000,1,2.3075552e-16,-1.1298438,0.41215421 0.016607796 1.6215243,1.4067298 0.92878587 1.1000888,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,38,3,001,1,2.3075552e-16,-1.1298438,-0.016841095 -0.50487118 -0.084039225,0.093727726 0.95309038 -1.0469809,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,39,5,100,1,2.3075552e-16,-1.1298438,0.40223558 1.6239591 -1.1101439,-0.63641024 1.0266438 0.45560368,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,40,6,011,1,2.3075552e-16,-1.1298438,1.8618598 0.56833494 1.7973316,0.98054516 0.52400395 -0.93003675,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,41,0,010,1,1.93574e-16,-1.1298438,-1.1458673 1.4521188 -0.66430427,0.55930735 -0.19387284 -0.12195372,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,42,0,010,1,1.93574e-16,-1.1298438,-1.9576998 1.2892898 -0.75420214,-0.48859965 -1.2851943 0.37388123,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,43,0,010,1,1.93574e-16,-1.1298438,1.1144486 0.044165049 -0.089160468,0.81632138 -1.209831 0.12275501,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,44,1,110,1,1.93574e-16,-1.1298438,0.99553463 -0.53476917 1.5045219,-0.12955447 -1.1523108 1.4306709,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,45,6,011,1,1.93574e-16,-1.1298438,-0.17639707 1.0111565 -1.6869872,0.92652133 -1.043999 -1.1251311,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,46,0,010,1,2.3075552e-16,-1.1298438,-0.89425479 -0.30117043 -0.058857287,-0.21512242 -1.3963814 0.29109378,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,47,3,001,1,2.3075552e-16,-1.1298438,0.9678371 1.9150155 0.21663979,1.2956054 1.3558983 -0.86281396,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,48,0,010,1,2.3075552e-16,-1.1298438,-1.7344803 -1.3213524 0.97773369,-0.71709269 -1.1632851 1.3301627,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,49,1,110,1,2.3075552e-16,-1.1298438,0.73435757 1.8327189 -0.6819609,-0.92322514 -1.0896337 1.3301331,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,50,0,010,1,2.3075552e-16,-1.1298438,-1.3433392 1.2094086 -1.1532676,1.088758 -1.3299763 -0.35574777,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,51,6,011,1,2.3075552e-16,-1.1298438,-0.39227602 1.9049685 1.5909093,-0.3466445 -0.2259515 0.64543624,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,52,2,101,1,2.3075552e-16,-1.1298438,0.56045751 1.57661 0.74877509,0.045935614 1.2020528 -0.50702311,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,53,2,101,1,2.3075552e-16,-1.1298438,-0.53021405 -0.59427007 -0.041952399,-1.3958117 -0.14127973 -0.55014729,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,54,3,001,1,1.4728773e-16,-1.1298438,-1.0272598 -1.0102922 1.1901766,-0.3432268 1.4422316 -0.26174445,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,55,7,111,1,2.3075552e-16,-1.1298438,0.79082946 -0.77850928 1.3059836,-0.86079021 -0.67443881 -0.62244495,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,56,1,110,1,2.3075552e-16,-1.1298438,-1.4825755 1.0023821 -0.273937,-1.1221644 0.10864102 -0.035033335,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,57,1,110,1,1.93574e-16,-1.1298438,0.0210025 0.84999845 -1.7338734,-0.02417393 -1.3451866 1.4282758,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,58,2,101,1,2.3075552e-16,-1.1298438,0.63959697 -1.3232589 1.6782537,-0.9750331 -0.43623346 -1.357536,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,59,0,010,1,1.93574e-16,-1.1298438,-0.51494216 0.92563585 -1.5125193,0.83095371 -0.21875342 0.90698374,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,60,7,111,1,2.3075552e-16,-1.1298438,-1.3042904 1.609387 0.90904923,-1.3553364 -0.062254663 -1.3034068,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,61,0,010,1,2.3075552e-16,-1.1298438,0.88983902 -0.54695347 1.0966152,1.1476029 -0.97090531 0.93112627,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,62,3,001,1,2.3075552e-16,-1.1298438,-0.45694946 -0.4708801 0.61729595,1.4223805 0.54746361 -0.83680571,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
